word	nodeType	unit
drop	NOUN	adventur
food	NOUN	adventur
y2	NOUN	adventur
PYRAMID	NOUN	adventur
drop	NOUN	adventur
PYRAMID	NOUN	adventur
w	NOUN	adventur
reason	NOUN	adventur
way	NOUN	adventur
crack	NOUN	adventur
silver	NOUN	adventur
PYRAMID	NOUN	adventur
PLUGH	NOUN	adventur
drop	NOUN	adventur
drop	NOUN	adventur
PYRAMID	NOUN	adventur
e	NOUN	adventur
cage	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
crystal	NOUN	adventur
bridge	NOUN	adventur
CHASM	NOUN	adventur
drop	NOUN	adventur
e	NOUN	adventur
e	NOUN	adventur
gold	NOUN	adventur
d	NOUN	adventur
point	NOUN	adventur
snake	NOUN	adventur
snake	NOUN	adventur
snake	NOUN	adventur
point	NOUN	adventur
course	NOUN	adventur
dwarf	NOUN	adventur
axe	NOUN	adventur
time	NOUN	adventur
dwarf	NOUN	adventur
axe	NOUN	adventur
dwarf	NOUN	adventur
person	NOUN	adventur
for	NOUN	adventur
pirate	NOUN	adventur
point	NOUN	adventur
game	NOUN	adventur
drop	NOUN	adventur
cage	NOUN	adventur
w	NOUN	adventur
DRAGON	NOUN	adventur
dragon	NOUN	adventur
type	NOUN	adventur
dragon	NOUN	adventur
game	NOUN	adventur
what	NOUN	adventur
hand	NOUN	adventur
answer	NOUN	adventur
congratulation	NOUN	adventur
e	NOUN	adventur
e	NOUN	adventur
jewelry	NOUN	adventur
w	NOUN	adventur
coin	NOUN	adventur
e	NOUN	adventur
PLUGH	NOUN	adventur
gold	NOUN	adventur
rug	NOUN	adventur
PLUGH	NOUN	adventur
food	NOUN	adventur
d	NOUN	adventur
w	NOUN	adventur
d	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
vase	NOUN	adventur
w	NOUN	adventur
food	NOUN	adventur
w	NOUN	adventur
e	NOUN	adventur
pillow	NOUN	adventur
vase	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
d	NOUN	adventur
water	NOUN	adventur
plant	NOUN	adventur
u	NOUN	adventur
plant	NOUN	adventur
WATER	NOUN	adventur
water	NOUN	adventur
drop	NOUN	adventur
e	NOUN	adventur
e	NOUN	adventur
e	NOUN	adventur
u	NOUN	adventur
e	NOUN	adventur
u	NOUN	adventur
PLUGH	NOUN	adventur
drop	NOUN	adventur
vase	NOUN	adventur
PLUGH	NOUN	adventur
d	NOUN	adventur
e	NOUN	adventur
d	NOUN	adventur
water	NOUN	adventur
u	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
d	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
d	NOUN	adventur
water	NOUN	adventur
plant	NOUN	adventur
u	NOUN	adventur
e	NOUN	adventur
d	NOUN	adventur
OIL	NOUN	adventur
u	NOUN	adventur
w	NOUN	adventur
d	NOUN	adventur
BEANSTALK	NOUN	adventur
w	NOUN	adventur
eggs	NOUN	adventur
door	NOUN	adventur
w	NOUN	adventur
d	NOUN	adventur
food	NOUN	adventur
u	NOUN	adventur
front	NOUN	adventur
bridge	NOUN	adventur
thing	NOUN	adventur
troll	NOUN	adventur
treasure	NOUN	adventur
eggs	NOUN	adventur
CHASM	NOUN	adventur
e	NOUN	adventur
e	NOUN	adventur
get	NOUN	adventur
spice	NOUN	adventur
w	NOUN	adventur
volcano	NOUN	adventur
room	NOUN	adventur
bear	NOUN	adventur
feed	NOUN	adventur
bear	NOUN	adventur
bear	NOUN	adventur
chain	NOUN	adventur
bear	NOUN	adventur
u	NOUN	adventur
u	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
drop	NOUN	adventur
bear	NOUN	adventur
bridge	NOUN	adventur
d	NOUN	adventur
e	NOUN	adventur
room	NOUN	adventur
clam	NOUN	adventur
pearl	NOUN	adventur
d	NOUN	adventur
d	NOUN	adventur
u	NOUN	adventur
u	NOUN	adventur
u	NOUN	adventur
e	NOUN	adventur
u	NOUN	adventur
PLUGH	NOUN	adventur
chain	NOUN	adventur
drop	NOUN	adventur
pearl	NOUN	adventur
drop	NOUN	adventur
PLUGH	NOUN	adventur
d	NOUN	adventur
w	NOUN	adventur
d	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
d	NOUN	adventur
w	NOUN	adventur
egg	NOUN	adventur
reason	NOUN	adventur
eggs	NOUN	adventur
fee	NOUN	adventur
MAGICALLY	NOUN	adventur
w	NOUN	adventur
d	NOUN	adventur
e	NOUN	adventur
u	NOUN	adventur
e	NOUN	adventur
u	NOUN	adventur
PLUGH	NOUN	adventur
treasure	NOUN	adventur
PLUGH	NOUN	adventur
e	NOUN	adventur
u	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
e	NOUN	adventur
e	NOUN	adventur
e	NOUN	adventur
chest	NOUN	adventur
d	NOUN	adventur
e	NOUN	adventur
e	NOUN	adventur
building	NOUN	adventur
chest	NOUN	adventur
congratulation	NOUN	adventur
point	NOUN	adventur
thing	NOUN	adventur
w	NOUN	adventur
w	NOUN	adventur
d	NOUN	adventur
d	NOUN	adventur
d	NOUN	adventur
w	NOUN	adventur
d	NOUN	adventur
e	NOUN	adventur
quest	NOUN	adventur
magazine	NOUN	adventur
action	NOUN	adventur
PEOPLE	NOUN	adventur
game	NOUN	adventur
result	NOUN	adventur
game	NOUN	adventur
point	NOUN	adventur
e	NOUN	adventur
back	NOUN	adventur
passage	NOUN	adventur
time	NOUN	adventur
set	NOUN	adventur
number	NOUN	adventur
move	NOUN	adventur
message	NOUN	adventur
point	NOUN	adventur
room	NOUN	adventur
following	NOUN	adventur
drop	NOUN	adventur
rod	NOUN	adventur
dynamite	NOUN	adventur
BLAST	NOUN	adventur
hole	NOUN	adventur
office	NOUN	adventur
	NOUN	adventur
default	NOUN	apples
trading	NOUN	apples
line	NOUN	apples
list	NOUN	apples
wares--	NOUN	apples
>	NOUN	apples
other	NOUN	apples
->[11	NOUN	apples
->[12	NOUN	apples
application	NOUN	apples
msg.#1	NOUN	apples
message	NOUN	apples
pirate	NOUN	apples
trading	NOUN	apples
*	NOUN	apples
forest	NOUN	apples
*	NOUN	apples
message	NOUN	apples
message	NOUN	apples
forest	NOUN	apples
\	NOUN	apples
line	NOUN	apples
hour	NOUN	apples
day	NOUN	apples
week	NOUN	apples
today	NOUN	apples
message	NOUN	apples
stuff	NOUN	apples
fer	NOUN	apples
exception	NOUN	apples
last=4	NOUN	apples
message	NOUN	apples
pirate	NOUN	apples
vacation	NOUN	apples
line	NOUN	apples
software	NOUN	apples
body	NOUN	apples
t	NOUN	apples
stuff	NOUN	apples
foot	NOUN	apples
e	NOUN	apples
-	NOUN	apples
way	NOUN	apples
E	NOUN	apples
message	NOUN	apples
hour	NOUN	apples
type	NOUN	apples
typing	NOUN	apples
message	NOUN	apples
pirate	NOUN	apples
list	NOUN	apples
oftware	NOUN	apples
'	NOUN	apples
wheeler	NOUN	apples
crystal	NOUN	apples
wing	NOUN	apples
champ	NOUN	apples
island	NOUN	apples
fear	NOUN	apples
mercy	NOUN	apples
DRAW	NOUN	apples
world	NOUN	apples
DELIG	NOUN	apples
spy	NOUN	apples
spy	NOUN	apples
adventure	NOUN	apples
xyphus	NOUN	apples
car	NOUN	apples
war	NOUN	apples
orge	NOUN	apples
objective	NOUN	apples
TRAPEZE	NOUN	apples
other	NOUN	apples
board	NOUN	apples
pirate	NOUN	apples
last=6	NOUN	apples
message	NOUN	apples
list	NOUN	apples
pirate	NOUN	apples
list	NOUN	apples
list	NOUN	apples
manufacter	NOUN	apples
shit	NOUN	apples
pirate	NOUN	apples
last=7	NOUN	apples
message	NOUN	apples
wares--	NOUN	apples
>	NOUN	apples
aybody	NOUN	apples
apple	NOUN	apples
ware	NOUN	apples
ear	NOUN	apples
lot	NOUN	apples
littile	NOUN	apples
is).i'm	NOUN	apples
business	NOUN	apples
programs(compiler	NOUN	apples
assembler	NOUN	apples
spreadsheet	NOUN	apples
e	NOUN	apples
-	NOUN	apples
mail	NOUN	apples
-	NOUN	apples
message	NOUN	apples
other	NOUN	apples
*	NOUN	apples
other	NOUN	apples
call	NOUN	apples
system	NOUN	apples
system	NOUN	apples
bbs's.	NOUN	apples
thank	NOUN	apples
*	NOUN	apples
last=9	NOUN	apples
message	NOUN	apples
xyphus	NOUN	apples
stuff	NOUN	apples
computer	NOUN	apples
last=10	NOUN	apples
message	NOUN	apples
or	NOUN	apples
expedition	NOUN	apples
xyphus	NOUN	apples
suck.skyfox	NOUN	apples
champ	NOUN	apples
email	NOUN	apples
best	NOUN	apples
message	NOUN	apples
workshop	NOUN	apples
dreadnaught	NOUN	apples
message	NOUN	apples
application	NOUN	apples
nuts	NOUN	apples
$	NOUN	apples
YOU'RE	NOUN	apples
programming	NOUN	apples
access	NOUN	apples
business	NOUN	apples
type	NOUN	apples
application	NOUN	apples
$	NOUN	apples
expert	NOUN	apples
programmer	NOUN	apples
$	NOUN	apples
you're	NOUN	apples
-	NOUN	apples
forest	NOUN	apples
message	NOUN	apples
tonight	NOUN	apples
TOMORROW.HERE	NOUN	apples
trading	NOUN	apples
list	NOUN	apples
tomorrow	NOUN	apples
feedback	NOUN	apples
e	NOUN	apples
-	NOUN	apples
mail	NOUN	apples
TOUCH	NOUN	apples
listof	NOUN	apples
wares	NOUN	apples
ONLY!!I	NOUN	apples
trade	NOUN	apples
*	NOUN	apples
	NOUN	apples
edt	NOUN	balls
ordering	NOUN	balls
information	NOUN	balls
quote	NOUN	balls
catalogue	NOUN	balls
alert	NOUN	balls
person	NOUN	balls
rest	NOUN	balls
ball	NOUN	balls
mouse	NOUN	balls
ball	NOUN	balls
replacement	NOUN	balls
nature	NOUN	balls
procedure	NOUN	balls
replacement	NOUN	balls
mouse	NOUN	balls
ball	NOUN	balls
personnel	NOUN	balls
proceeding	NOUN	balls
type	NOUN	balls
mouse	NOUN	balls
ball	NOUN	balls
underside	NOUN	balls
mouse	NOUN	balls
ball	NOUN	balls
ball	NOUN	balls
ball	NOUN	balls
removal	NOUN	balls
procedure	NOUN	balls
manufacturer	NOUN	balls
mouse	NOUN	balls
ball	NOUN	balls
method	NOUN	balls
ball	NOUN	balls
twist	NOUN	balls
method	NOUN	balls
ball	NOUN	balls
handling	NOUN	balls
discharge	NOUN	balls
completion	NOUN	balls
ball	NOUN	balls
replacement	NOUN	balls
mouse	NOUN	balls
replacer	NOUN	balls
pair	NOUN	balls
ball	NOUN	balls
customer	NOUN	balls
satisfaction	NOUN	balls
customer	NOUN	balls
ball	NOUN	balls
personnel	NOUN	balls
item	NOUN	balls
-	NOUN	balls
order	NOUN	balls
following	NOUN	balls
p	NOUN	balls
p	NOUN	balls
X-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-X	NOUN	balls
file	NOUN	balls
NIRVANAnet(tm	NOUN	balls
flag	NOUN	balls
realitycheck	NOUN	balls
conversation	NOUN	balls
information	NOUN	balls
explosive	NOUN	balls
knowledge	NOUN	balls
extremism	NOUN	balls
sexuality	NOUN	balls
speculation	NOUN	balls
rumour	NOUN	balls
text	NOUN	balls
systems	NOUN	balls
access	NOUN	balls
time	NOUN	balls
caller	NOUN	balls
phone	NOUN	balls
number	NOUN	balls
X-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-X	NOUN	balls
day	NOUN	captmidn
satellite	NOUN	captmidn
tv	NOUN	captmidn
dealership	NOUN	captmidn
customer	NOUN	captmidn
day	NOUN	captmidn
doldrum	NOUN	captmidn
satellite	NOUN	captmidn
tv	NOUN	captmidn
industry	NOUN	captmidn
night	NOUN	captmidn
foot	NOUN	captmidn
pound	NOUN	captmidn
finger	NOUN	captmidn
hair	NOUN	captmidn
glass	NOUN	captmidn
world	NOUN	captmidn
satellite	NOUN	captmidn
television	NOUN	captmidn
spinning	NOUN	captmidn
pay	NOUN	captmidn
tv	NOUN	captmidn
service	NOUN	captmidn
signal	NOUN	captmidn
time	NOUN	captmidn
service	NOUN	captmidn
lead	NOUN	captmidn
owner	NOUN	captmidn
cost	NOUN	captmidn
descrambler	NOUN	captmidn
program	NOUN	captmidn
fee	NOUN	captmidn
customer	NOUN	captmidn
drove	NOUN	captmidn
boom	NOUN	captmidn
dish	NOUN	captmidn
sale	NOUN	captmidn
business	NOUN	captmidn
half	NOUN	captmidn
year	NOUN	captmidn
profit	NOUN	captmidn
air	NOUN	captmidn
conditioner	NOUN	captmidn
money	NOUN	captmidn
customer	NOUN	captmidn
day	NOUN	captmidn
tv	NOUN	captmidn
reading	NOUN	captmidn
magazine	NOUN	captmidn
dream	NOUN	captmidn
slip	NOUN	captmidn
grasp	NOUN	captmidn
end	NOUN	captmidn
evening	NOUN	captmidn
time	NOUN	captmidn
operation	NOUN	captmidn
engineer	NOUN	captmidn
company	NOUN	captmidn
service	NOUN	captmidn
satellite	NOUN	captmidn
electronic	NOUN	captmidn
engineer	NOUN	captmidn
student	NOUN	captmidn
time	NOUN	captmidn
year	NOUN	captmidn
cb	NOUN	captmidn
radio	NOUN	captmidn
automobile	NOUN	captmidn
pal	NOUN	captmidn
roadster	NOUN	captmidn
management	NOUN	captmidn
engineering	NOUN	captmidn
course	NOUN	captmidn
year	NOUN	captmidn
job	NOUN	captmidn
satellite	NOUN	captmidn
tv	NOUN	captmidn
dish	NOUN	captmidn
"""my"	NOUN	captmidn
job	NOUN	captmidn
money	NOUN	captmidn
tv	NOUN	captmidn
tv	NOUN	captmidn
p.m.	NOUN	captmidn
shop	NOUN	captmidn
home	NOUN	captmidn
sandwich	NOUN	captmidn
supper	NOUN	captmidn
teleport	NOUN	captmidn
hour	NOUN	captmidn
engineer	NOUN	captmidn
duty	NOUN	captmidn
building	NOUN	captmidn
side	NOUN	captmidn
satellite	NOUN	captmidn
dish	NOUN	captmidn
end	NOUN	captmidn
shift	NOUN	captmidn
movie	NOUN	captmidn
pay	NOUN	captmidn
view	NOUN	captmidn
service	NOUN	captmidn
mind	NOUN	captmidn
film	NOUN	captmidn
routine	NOUN	captmidn
color	NOUN	captmidn
bar	NOUN	captmidn
button	NOUN	captmidn
foot	NOUN	captmidn
dish	NOUN	captmidn
resting	NOUN	captmidn
place	NOUN	captmidn
soil	NOUN	captmidn
dish	NOUN	captmidn
cement	NOUN	captmidn
pad	NOUN	captmidn
clay	NOUN	captmidn
kilter	NOUN	captmidn
way	NOUN	captmidn
rain	NOUN	captmidn
gutter	NOUN	captmidn
place	NOUN	captmidn
dish	NOUN	captmidn
satellite	NOUN	captmidn
satellite	NOUN	captmidn
feed	NOUN	captmidn
"it,""say"	NOUN	captmidn
character	NOUN	captmidn
generator	NOUN	captmidn
keyboard	NOUN	captmidn
letter	NOUN	captmidn
tv	NOUN	captmidn
screen	NOUN	captmidn
name	NOUN	captmidn
style	NOUN	captmidn
couple	NOUN	captmidn
minute	NOUN	captmidn
message	NOUN	captmidn
idea	NOUN	captmidn
name	NOUN	captmidn
mind	NOUN	captmidn
movie	NOUN	captmidn
title	NOUN	captmidn
teenager	NOUN	captmidn
pirate	NOUN	captmidn
radio	NOUN	captmidn
station	NOUN	captmidn
van	NOUN	captmidn
espionage	NOUN	captmidn
movie	NOUN	captmidn
a.m.	NOUN	captmidn
button	NOUN	captmidn
console	NOUN	captmidn
body	NOUN	captmidn
experience	NOUN	captmidn
minute	NOUN	captmidn
viewer	NOUN	captmidn
message	NOUN	captmidn
month	NOUN	captmidn
movie	NOUN	captmidn
week	NOUN	captmidn
signal	NOUN	captmidn
test	NOUN	captmidn
pattern	NOUN	captmidn
attorney	NOUN	captmidn
network	NOUN	captmidn
signal	NOUN	captmidn
interference	NOUN	captmidn
time	NOUN	captmidn
engineer	NOUN	captmidn
duty	NOUN	captmidn
station	NOUN	captmidn
signal	NOUN	captmidn
power	NOUN	captmidn
watt	NOUN	captmidn
power	NOUN	captmidn
engineer	NOUN	captmidn
interference	NOUN	captmidn
grip	NOUN	captmidn
thing	NOUN	captmidn
engineer	NOUN	captmidn
episode	NOUN	captmidn
enforcement	NOUN	captmidn
division	NOUN	captmidn
game	NOUN	captmidn
second	NOUN	captmidn
people	NOUN	captmidn
station	NOUN	captmidn
control	NOUN	captmidn
signal	NOUN	captmidn
call	NOUN	captmidn
bird	NOUN	captmidn
damage	NOUN	captmidn
satellite	NOUN	captmidn
signal	NOUN	captmidn
top	NOUN	captmidn
transmit	NOUN	captmidn
button	NOUN	captmidn
monitor	NOUN	captmidn
while	NOUN	captmidn
minute	NOUN	captmidn
minute	NOUN	captmidn
engineering	NOUN	captmidn
curiosity	NOUN	captmidn
power	NOUN	captmidn
level	NOUN	captmidn
downlink	NOUN	captmidn
signal	NOUN	captmidn
time	NOUN	captmidn
control	NOUN	captmidn
transponder	NOUN	captmidn
top	NOUN	captmidn
thought	NOUN	captmidn
mind	NOUN	captmidn
minute	NOUN	captmidn
teleport	NOUN	captmidn
guilt	NOUN	captmidn
night	NOUN	captmidn
morning	NOUN	captmidn
doubt	NOUN	captmidn
message	NOUN	captmidn
pricing	NOUN	captmidn
month	NOUN	captmidn
routine	NOUN	captmidn
ambush	NOUN	captmidn
tv	NOUN	captmidn
network	NOUN	captmidn
newscast	NOUN	captmidn
frustration	NOUN	captmidn
night	NOUN	captmidn
teleport	NOUN	captmidn
man	NOUN	captmidn
hour	NOUN	captmidn
thing	NOUN	captmidn
guy	NOUN	captmidn
world	NOUN	captmidn
curiosity	NOUN	captmidn
event	NOUN	captmidn
headline	NOUN	captmidn
fodder	NOUN	captmidn
joke	NOUN	captmidn
way	NOUN	captmidn
tension	NOUN	captmidn
head	NOUN	captmidn
chairman	NOUN	captmidn
company	NOUN	captmidn
call	NOUN	captmidn
orbit	NOUN	captmidn
resource	NOUN	captmidn
jamming	NOUN	captmidn
jamming	NOUN	captmidn
replacement	NOUN	captmidn
spokesman	NOUN	captmidn
lot	NOUN	captmidn
action	NOUN	captmidn
case	NOUN	captmidn
dish	NOUN	captmidn
owner	NOUN	captmidn
odd	NOUN	captmidn
programmer	NOUN	captmidn
point	NOUN	captmidn
satellite	NOUN	captmidn
system	NOUN	captmidn
investigator	NOUN	captmidn
implication	NOUN	captmidn
incident	NOUN	captmidn
threat	NOUN	captmidn
security	NOUN	captmidn
lot	NOUN	captmidn
datum	NOUN	captmidn
bandit	NOUN	captmidn
business	NOUN	captmidn
thing	NOUN	captmidn
defense	NOUN	captmidn
communication	NOUN	captmidn
information	NOUN	captmidn
telephone	NOUN	captmidn
communication	NOUN	captmidn
teleconference	NOUN	captmidn
owner	NOUN	captmidn
incident	NOUN	captmidn
log	NOUN	captmidn
founder	NOUN	captmidn
president	NOUN	captmidn
sport	NOUN	captmidn
network	NOUN	captmidn
reality	NOUN	captmidn
equipment	NOUN	captmidn
purpose	NOUN	captmidn
rumors	NOUN	captmidn
galore	NOUN	captmidn
investigation	NOUN	captmidn
rumor	NOUN	captmidn
publication	NOUN	captmidn
television	NOUN	captmidn
commentator	NOUN	captmidn
call	NOUN	captmidn
tape	NOUN	captmidn
people	NOUN	captmidn
case	NOUN	captmidn
hunt	NOUN	captmidn
colleague	NOUN	captmidn
satellite	NOUN	captmidn
tv	NOUN	captmidn
business	NOUN	captmidn
investigation	NOUN	captmidn
incident	NOUN	captmidn
engineer	NOUN	captmidn
operator	NOUN	captmidn
signal	NOUN	captmidn
transponder	NOUN	captmidn
observation	NOUN	captmidn
personnel	NOUN	captmidn
assumption	NOUN	captmidn
signal	NOUN	captmidn
signal	NOUN	captmidn
channel	NOUN	captmidn
fact	NOUN	captmidn
point	NOUN	captmidn
life	NOUN	captmidn
people	NOUN	captmidn
word	NOUN	captmidn
thing	NOUN	captmidn
answer	NOUN	captmidn
theory	NOUN	captmidn
phone	NOUN	captmidn
call	NOUN	captmidn
dish	NOUN	captmidn
owner	NOUN	captmidn
investigation	NOUN	captmidn
tourist	NOUN	captmidn
phone	NOUN	captmidn
booth	NOUN	captmidn
tourist	NOUN	captmidn
conversation	NOUN	captmidn
man	NOUN	captmidn
license	NOUN	captmidn
plate	NOUN	captmidn
number	NOUN	captmidn
impostor	NOUN	captmidn
customer	NOUN	captmidn
name	NOUN	captmidn
cable	NOUN	captmidn
progra	NOUN	captmidn
business	NOUN	captmidn
kind	NOUN	captmidn
hero	NOUN	captmidn
voice	NOUN	captmidn
guy	NOUN	captmidn
people	NOUN	captmidn
time	NOUN	captmidn
law	NOUN	captmidn
mph	NOUN	captmidn
speed	NOUN	captmidn
limit	NOUN	captmidn
beer	NOUN	captmidn
age	NOUN	captmidn
model	NOUN	captmidn
citizen	NOUN	captmidn
investigator	NOUN	captmidn
question	NOUN	captmidn
knowledge	NOUN	captmidn
incident	NOUN	captmidn
feeling	NOUN	captmidn
people	NOUN	captmidn
maniac	NOUN	captmidn
time	NOUN	captmidn
week	NOUN	captmidn
time	NOUN	captmidn
subpoena	NOUN	captmidn
conversation	NOUN	captmidn
subpoena	NOUN	captmidn
gentile	NOUN	captmidn
suspect	NOUN	captmidn
incident	NOUN	captmidn
satellite	NOUN	captmidn
dish	NOUN	captmidn
dealer	NOUN	captmidn
teleport	NOUN	captmidn
suspect	NOUN	captmidn
thing	NOUN	captmidn
front	NOUN	captmidn
jury	NOUN	captmidn
level	NOUN	captmidn
man	NOUN	captmidn
time	NOUN	captmidn
attorney	NOUN	captmidn
man	NOUN	captmidn
attorney	NOUN	captmidn
people	NOUN	captmidn
attorney	NOUN	captmidn
people	NOUN	captmidn
agreement	NOUN	captmidn
incident	NOUN	captmidn
gentile	NOUN	captmidn
probation	NOUN	captmidn
judge	NOUN	captmidn
fine	NOUN	captmidn
fine	NOUN	captmidn
crime	NOUN	captmidn
century	NOUN	captmidn
lot	NOUN	captmidn
pressure	NOUN	captmidn
point	NOUN	captmidn
evidence	NOUN	captmidn
plea	NOUN	captmidn
bargain	NOUN	captmidn
innocence	NOUN	captmidn
jamming	NOUN	captmidn
raid	NOUN	captmidn
investigator	NOUN	captmidn
investigation	NOUN	captmidn
station	NOUN	captmidn
capacity	NOUN	captmidn
raid	NOUN	captmidn
person	NOUN	captmidn
time	NOUN	captmidn
incident	NOUN	captmidn
idea	NOUN	captmidn
man	NOUN	captmidn
people	NOUN	captmidn
warning	NOUN	captmidn
equivalent	NOUN	captmidn
warning	NOUN	captmidn
police	NOUN	captmidn
arrest	NOUN	captmidn
gentile	NOUN	captmidn
advice	NOUN	captmidn
attorney	NOUN	captmidn
hand	NOUN	captmidn
percent	NOUN	captmidn
chance	NOUN	captmidn
case	NOUN	captmidn
year	NOUN	captmidn
jail	NOUN	captmidn
plea	NOUN	captmidn
reason	NOUN	captmidn
guilt	NOUN	captmidn
thing	NOUN	captmidn
thing	NOUN	captmidn
side	NOUN	captmidn
activist	NOUN	captmidn
right	NOUN	captmidn
idealism	NOUN	captmidn
activism	NOUN	captmidn
upbringing	NOUN	captmidn
leaning	NOUN	captmidn
wit	NOUN	captmidn
end	NOUN	captmidn
jury	NOUN	captmidn
way	NOUN	captmidn
charge	NOUN	captmidn
midemeanor	NOUN	captmidn
felony	NOUN	captmidn
perjury	NOUN	captmidn
end	NOUN	captmidn
factor	NOUN	captmidn
money	NOUN	captmidn
client	NOUN	captmidn
trial	NOUN	captmidn
month	NOUN	captmidn
time	NOUN	captmidn
press	NOUN	captmidn
nightmare	NOUN	captmidn
fighting	NOUN	captmidn
case	NOUN	captmidn
possibility	NOUN	captmidn
nightmare	NOUN	captmidn
penitentiary	NOUN	captmidn
concept	NOUN	captmidn
lunch	NOUN	captmidn
convict	NOUN	captmidn
uniform	NOUN	captmidn
guy	NOUN	captmidn
trnsmitter	NOUN	captmidn
license	NOUN	captmidn
risk	NOUN	captmidn
time	NOUN	captmidn
court	NOUN	captmidn
arrest	NOUN	captmidn
procedure	NOUN	captmidn
curiosity	NOUN	captmidn
force	NOUN	captmidn
experience	NOUN	captmidn
crime	NOUN	captmidn
hour	NOUN	captmidn
hour	NOUN	captmidn
discussion	NOUN	captmidn
prosecutor	NOUN	captmidn
judge	NOUN	captmidn
statement	NOUN	captmidn
knowledge	NOUN	captmidn
right	NOUN	captmidn
official	NOUN	captmidn
hearing	NOUN	captmidn
sentencing	NOUN	captmidn
smile	NOUN	captmidn
marshal	NOUN	captmidn
understanding	NOUN	captmidn
year	NOUN	captmidn
probation	NOUN	captmidn
system	NOUN	captmidn
court	NOUN	captmidn
hero	NOUN	captmidn
dish	NOUN	captmidn
owner	NOUN	captmidn
satellite	NOUN	captmidn
tv	NOUN	captmidn
dealer	NOUN	captmidn
group	NOUN	captmidn
bumper	NOUN	captmidn
sticker	NOUN	captmidn
t	NOUN	captmidn
shirt	NOUN	captmidn
visor	NOUN	captmidn
band	NOUN	captmidn
money	NOUN	captmidn
cost	NOUN	captmidn
spokesman	NOUN	captmidn
coalition	NOUN	captmidn
criminal	NOUN	captmidn
transmission	NOUN	captmidn
group	NOUN	captmidn
